Date;Internet;Nasdaq;Quality
27.12.24;0;0;0
31.01.25;-0,010403126;0,011006061;-0,006443494
28.02.25;-0,044204291;-0,017810101;-0,060117702
31.03.25;-0,022009099;-0,001446801;-0,072975147
30.04.25;-0,019108082;0,006471717;-0,030673623
31.05.25;-0,022023932;0,001552525;-0,013075733
24.06.25;0,022469743;0,059880135;0,034886401
30.06.25;0,037761161;0,071983502;0,084441266
15.07.25;0,063771999;0,093583165;0,117345604
31.07.25;0,049461383;0,0839367;0,119458734
15.08.25;0,03308182;0,070088889;0,103532943
31.08.25;0,071251637;0,103525589;0,12120211
15.09.25;0,11102175;0,164222559;0,205021571
30.09.25;0,107401387;0,160118855;0,201148535
31.10.25;0,189527427;0,22633266;0,308926377
30.11.25;0,284731496;0,295310438;0,344557796
31.12.25;0,265333605;0,271792256;0,30934959
31.01.26;0,346917311;0,324561953;0,337555803
